Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,tag
Test Drive,PS2,2002,Racing,Atari,0.95,0.21,0.01,0.18,1.34,73.0,19.0,7.4,23.0,Pitbull Syndicate,T,Video Games
Devil May Cry 4,X360,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.34,84.0,61.0,8.0,248.0,Capcom,M,Video Games
Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft,0.66,0.44,0.04,0.21,1.34,81.0,32.0,7.9,93.0,Ubisoft Montreal,M,Video Games
Metroid: Other M,Wii,2010,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,79.0,71.0,6.5,482.0,Team Ninja,T,Video Games
Crysis 2,X360,2011,Action,Electronic Arts,0.71,0.49,0.02,0.12,1.34,84.0,72.0,7.5,533.0,Crytek,M,Video Games
Chrono Trigger,DS,2008,Role-Playing,Square Enix,0.61,0.16,0.49,0.08,1.34,92.0,57.0,8.9,440.0,TOSE,E10+,Video Games
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom,0.81,0.28,0.11,0.14,1.34,84.0,56.0,7.3,147.0,Capcom,T,Video Games
Mortal Kombat 3,GEN,1994,Fighting,Acclaim Entertainment,1.03,0.27,0.0,0.04,1.34,,,,,,,Video Games
Doom 3,XB,2005,Shooter,Activision,0.85,0.43,0.0,0.06,1.34,88.0,71.0,7.4,116.0,Vicarious Visions,M,Video Games
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,0.77,0.45,0.0,0.12,1.34,74.0,24.0,6.9,252.0,Ubisoft Montreal,M,Video Games
F1 2010,PS3,2010,Racing,Codemasters,0.25,0.75,0.08,0.26,1.34,84.0,46.0,7.8,83.0,Codemasters Birmingham,E,Video Games
Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,0.24,0.03,1.03,0.04,1.34,71.0,34.0,8.6,78.0,Capcom,T,Video Games
Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,80.0,49.0,8.3,30.0,Nintendo,E10+,Video Games
Need for Speed Carbon,PS2,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,74.0,26.0,8.4,60.0,EA Canada,E10+,Video Games
Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1.09,0.04,0.1,0.1,1.34,79.0,76.0,7.1,187.0,Capcom,T,Video Games
Command & Conquer: Red Alert 2,PC,2000,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34,,,,,,,Video Games
NBA 2K15,PS3,2014,Sports,Take-Two Interactive,0.87,0.21,0.02,0.24,1.34,,,3.5,22.0,Visual Concepts,E,Video Games
Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive,0.65,0.51,0.0,0.17,1.34,73.0,27.0,8.2,63.0,Rockstar Vienna,M,Video Games
Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34,84.0,50.0,8.1,203.0,EA DICE,T,Video Games
MVP Baseball 2004,PS2,2004,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34,90.0,28.0,8.6,51.0,EA Sports,E,Video Games
Yokai Watch 3,3DS,2016,Action,Level 5,0.0,0.0,1.33,0.0,1.33,,,,,,,Video Games
Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,Platform,Sony Computer Entertainment,1.27,0.05,0.0,0.02,1.33,,,,,,,Video Games
Alan Wake,X360,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83.0,100.0,8.1,1156.0,Remedy Entertainment,T,Video Games
Spider-Man: The Movie,GBA,2002,Action,Activision,0.92,0.35,0.01,0.05,1.33,,,,,,,Video Games
WWF War Zone,N64,1998,Fighting,Acclaim Entertainment,1.08,0.24,0.0,0.02,1.33,,,,,,,Video Games
Tony Hawk's Pro Skater,GB,2000,Sports,Activision,0.9,0.38,0.01,0.05,1.33,,,,,,,Video Games
The Sims: Bustin' Out,GBA,2003,Simulation,Electronic Arts,0.93,0.35,0.0,0.06,1.33,,,,,,,Video Games
Triple Play 2001,PS,2000,Sports,Electronic Arts,0.74,0.5,0.0,0.09,1.33,,,,,,,Video Games
Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,92.0,60.0,8.8,279.0,Retro Studios,T,Video Games
The Elder Scrolls V: Skyrim,PS4,2016,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,,,,,,,Video Games
Corvette,PS2,2004,Racing,TDK Mediactive,0.65,0.51,0.0,0.17,1.33,57.0,15.0,6.5,21.0,Steel Monkeys,E,Video Games
WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ,0.62,0.49,0.01,0.2,1.33,74.0,27.0,7.3,41.0,Yuke's,T,Video Games
Skylanders SWAP Force,X360,2013,Platform,Activision,0.86,0.34,0.0,0.12,1.32,83.0,37.0,5.7,45.0,Vicarious Visions,E10+,Video Games
Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive,0.58,0.56,0.05,0.14,1.32,93.0,85.0,8.3,280.0,Rockstar Leeds,M,Video Games
UFC Undisputed 2010,X360,2010,Fighting,THQ,0.9,0.31,0.0,0.11,1.32,84.0,70.0,6.7,80.0,Yuke's,T,Video Games
World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32,91.0,47.0,7.5,930.0,Blizzard Entertainment,T,Video Games
Gyromite,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32,,,,,,,Video Games
TOCA 2: Touring Cars,PS,1998,Racing,Codemasters,0.03,1.16,0.02,0.11,1.32,,,,,,,Video Games
NFL 2K3,PS2,2002,Sports,Atari,1.06,0.08,0.0,0.18,1.32,93.0,20.0,7.4,25.0,Visual Concepts,E,Video Games
Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70.0,71.0,7.2,318.0,Ubisoft,M,Video Games
Fighting Force,PS,1997,Fighting,Eidos Interactive,0.73,0.5,0.0,0.09,1.32,,,,,,,Video Games
Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft,0.71,0.48,0.0,0.13,1.32,,,,,Magic Pockets,E,Video Games
Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003,Role-Playing,Capcom,0.31,0.04,0.96,0.01,1.32,,,,,,,Video Games
Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft,0.79,0.41,0.0,0.11,1.32,73.0,32.0,7.5,25.0,Ubisoft Montreal,E,Video Games
Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts,0.69,0.37,0.02,0.24,1.32,74.0,36.0,8.5,38.0,Team Fusion,E,Video Games
Madden NFL 97,PS,1996,Sports,Electronic Arts,0.73,0.5,0.0,0.09,1.32,,,,,,,Video Games
The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,Sony Computer Entertainment,0.67,0.34,0.13,0.17,1.31,,,,,,,Video Games
TNN Motor Sports Hardcore 4x4,PS,1996,Racing,ASC Games,0.73,0.5,0.0,0.09,1.31,,,,,,,Video Games
MAG: Massive Action Game,PS3,2010,Shooter,Sony Computer Entertainment,0.77,0.29,0.09,0.16,1.31,,,,,,,Video Games
IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,0.64,0.5,0.0,0.17,1.31,,,7.4,63.0,Bethesda Softworks,E,Video Games
Rage,PS3,2011,Shooter,Bethesda Softworks,0.47,0.58,0.06,0.2,1.31,81.0,37.0,6.2,353.0,id Software,M,Video Games
LEGO Harry Potter: Years 1-4,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.55,0.55,0.0,0.21,1.31,79.0,42.0,8.0,52.0,Traveller's Tales,E10+,Video Games
Madagascar,PS2,2005,Platform,Activision,0.78,0.45,0.0,0.07,1.31,69.0,25.0,7.4,25.0,Toys for Bob,E10+,Video Games
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31,91.0,13.0,9.2,3963.0,CD Projekt Red Studio,M,Video Games
Rugrats Studio Tour,PS,1999,Adventure,THQ,0.57,0.67,0.0,0.07,1.31,,,,,,,Video Games
Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0.0,0.02,1.31,,,,,,,Video Games
Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment,0.64,0.5,0.0,0.17,1.31,61.0,20.0,7.3,27.0,Acclaim,M,Video Games
[Prototype],X360,2009,Action,Activision,0.84,0.35,0.0,0.12,1.31,78.0,83.0,7.8,356.0,Radical Entertainment,M,Video Games
Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31,94.0,76.0,7.2,139.0,Criterion Games,T,Video Games
The Beatles: Rock Band,X360,2009,Misc,MTV Games,0.97,0.23,0.0,0.11,1.3,89.0,76.0,8.6,127.0,Harmonix Music Systems,T,Video Games
Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3,,,,,,,Video Games
NBA Live 07,PS2,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,63.0,12.0,6.0,39.0,EA Sports,E,Video Games
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78.0,83.0,8.5,376.0,Good-Feel,E,Video Games
Skylanders Giants,X360,2012,Action,Activision,0.75,0.44,0.0,0.11,1.3,80.0,35.0,6.6,38.0,Toys for Bob,E10+,Video Games
SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3,78.0,22.0,8.3,6.0,SCEA,T,Video Games
Romancing SaGa 3,SNES,1995,Role-Playing,SquareSoft,0.0,0.0,1.29,0.01,1.3,,,,,,,Video Games
Test Drive 5,PS,1997,Racing,Accolade,1.05,0.2,0.0,0.05,1.3,,,,,,,Video Games
Tekken 6,X360,2009,Fighting,Namco Bandai Games,0.71,0.41,0.05,0.12,1.3,80.0,59.0,7.0,132.0,"Namco Bandai Games America, Namco Bandai Games",T,Video Games
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,78.0,22.0,6.1,402.0,Ubisoft Quebec,M,Video Games
Digimon World,PS,1999,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3,,,,,,,Video Games
Far Cry 4,PS3,2014,Shooter,Ubisoft,0.34,0.68,0.08,0.19,1.29,,,7.3,113.0,Ubisoft Montreal,M,Video Games
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,68.0,25.0,8.2,25.0,Creatures Inc.,E,Video Games
LEGO Batman: The Videogame,PS3,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.39,0.0,0.19,1.29,75.0,24.0,7.7,33.0,Traveller's Tales,E10+,Video Games
Mega Man Battle Network 3 Blue / White Version,GBA,2002,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29,,,,,,,Video Games
Resident Evil Zero,GC,2002,Action,Capcom,0.54,0.27,0.45,0.04,1.29,,,,,,,Video Games
High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,Disney Interactive Studios,0.67,0.49,0.0,0.13,1.29,,,,,,,Video Games
Crysis 2,PS3,2011,Action,Electronic Arts,0.46,0.56,0.06,0.21,1.29,85.0,54.0,7.2,406.0,Crytek,M,Video Games
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,0.93,0.34,0.0,0.02,1.29,49.0,10.0,6.2,5.0,Pocket Studios,E,Video Games
Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo,0.74,0.05,0.43,0.07,1.29,,,,,,,Video Games
Namco Museum DS,DS,2007,Misc,Atari,1.13,0.01,0.06,0.09,1.29,67.0,19.0,5.9,8.0,M2,E,Video Games
Deal or No Deal,Wii,2009,Misc,Zoo Games,1.2,0.0,0.0,0.09,1.29,56.0,4.0,5.0,5.0,Artefacts Studio,E,Video Games
Transformers,PS2,2004,Shooter,Atari,0.63,0.49,0.0,0.16,1.29,75.0,51.0,8.6,27.0,Melbourne House,T,Video Games
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74.0,26.0,7.8,387.0,Techland,M,Video Games
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,84.0,38.0,5.4,7512.0,Bethesda Game Studios,M,Video Games
Sonic Colors,DS,2010,Platform,Sega,0.69,0.47,0.01,0.12,1.29,79.0,26.0,7.9,66.0,Dimps Corporation,E,Video Games
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72.0,53.0,7.5,292.0,Ubisoft Sofia,M,Video Games
EA Playground,Wii,2007,Sports,Electronic Arts,0.68,0.47,0.0,0.13,1.29,66.0,32.0,7.6,30.0,EA Canada,E,Video Games
Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,Take-Two Interactive,1.22,0.05,0.0,0.01,1.29,,,,,,,Video Games
Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1.1,0.03,0.06,0.09,1.28,,,8.4,13.0,Ubisoft,E,Video Games
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,0.78,0.38,0.0,0.12,1.28,77.0,11.0,8.4,613.0,ZeniMax Media,M,Video Games
Champions of Norrath,PS2,2004,Role-Playing,Sony Oznline Entertainment,0.63,0.49,0.0,0.16,1.28,85.0,51.0,8.4,57.0,Snowblind Studios,T,Video Games
Yakuman,GB,1989,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28,,,,,,,Video Games
Army Men 3D,PS,1999,Action,3DO,1.1,0.14,0.0,0.04,1.28,,,,,,,Video Games
Imagine: Wedding Designer,DS,2008,Simulation,Ubisoft,0.55,0.59,0.0,0.14,1.28,,,,,"Lexis Numerique, Virtual Toys",E,Video Games
Twisted Metal 4,PS,1999,Racing,989 Studios,1.07,0.16,0.0,0.04,1.28,,,,,,,Video Games
Manhunt,PS2,2003,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28,76.0,47.0,8.3,136.0,Rockstar North,M,Video Games
Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,0.45,0.66,0.02,0.15,1.28,67.0,21.0,7.3,26.0,EA Canada,E10+,Video Games
Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,89.0,34.0,8.9,557.0,KCET,M,Video Games
Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,93.0,12.0,9.4,358.0,Konami,T,Video Games
Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.03,0.14,0.0,0.1,1.27,73.0,16.0,7.2,19.0,Vicarious Visions,T,Video Games
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0.0,0.11,1.27,69.0,8.0,7.2,26.0,TT Games,E10+,Video Games
The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27,76.0,31.0,6.6,71.0,Maxis,T,Video Games
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27,91.0,69.0,8.1,1107.0,From Software,T,Video Games
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,83.0,75.0,8.7,487.0,"Opus, Project Sora",E10+,Video Games
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,59.0,46.0,6.3,134.0,"Nintendo, Spike Chunsoft",E,Video Games
LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0.0,0.52,1.27,77.0,8.0,8.9,17.0,Traveller's Tales,E10+,Video Games
Road Rash,PS,1995,Racing,Electronic Arts,0.71,0.48,0.0,0.08,1.27,,,,,,,Video Games
Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27,,,,,,,Video Games
NBA 2K9,X360,2008,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.27,84.0,32.0,7.2,44.0,Visual Concepts,E,Video Games
Tony Hawk's Underground,XB,2003,Sports,Activision,0.85,0.37,0.0,0.05,1.27,85.0,33.0,9.1,26.0,Neversoft Entertainment,T,Video Games
Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,,,,,,,Video Games
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75.0,70.0,6.2,1311.0,Kojima Productions,M,Video Games
Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo,0.75,0.39,0.0,0.12,1.27,65.0,28.0,,,Griptonite Games,E,Video Games
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75.0,35.0,8.5,60.0,CyberConnect2,T,Video Games
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.96,0.2,0.0,0.11,1.27,30.0,4.0,2.0,23.0,3G Studios,E,Video Games
Valkyria Chronicles,PS3,2008,Role-Playing,Sega,0.71,0.19,0.24,0.13,1.27,86.0,60.0,8.6,433.0,Sega,T,Video Games
WWE '12,X360,2011,Fighting,THQ,0.74,0.4,0.0,0.12,1.27,71.0,52.0,6.3,89.0,Yuke's,T,Video Games
Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27,57.0,27.0,7.9,139.0,Sonic Team,E,Video Games
Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,0.62,0.48,0.0,0.16,1.27,,,,,,,Video Games
Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,69.0,4.0,6.3,4.0,Tamsoft,T,Video Games
WWE '13,X360,2012,Action,THQ,0.72,0.44,0.0,0.11,1.27,78.0,46.0,8.0,110.0,"THQ, Yuke's",T,Video Games
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,0.43,0.36,0.32,0.16,1.27,85.0,50.0,8.5,332.0,Virtuos,T,Video Games
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27,80.0,6.0,4.9,123.0,Ghost Games,E10+,Video Games
EA Sports Active 2,Wii,2010,Sports,Electronic Arts,0.76,0.39,0.0,0.11,1.26,79.0,8.0,8.1,22.0,EA Canada,E,Video Games
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.72,0.0,0.15,1.26,68.0,36.0,5.8,21.0,Rockstar San Diego,E,Video Games
Devil Dice,PS,1998,Puzzle,THQ,0.05,0.03,1.1,0.08,1.26,,,,,,,Video Games
Football Manager 2011,PC,2010,Sports,Sega,0.0,1.01,0.0,0.25,1.26,85.0,23.0,8.4,77.0,Sports Interactive,E,Video Games
Brian Lara Cricket,PS,1998,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26,,,,,,,Video Games
Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0.0,1.15,0.0,0.11,1.26,,,,,,,Video Games
Wheel of Fortune,PS,1998,Misc,Hasbro Interactive,0.99,0.22,0.0,0.04,1.26,,,,,,,Video Games
Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,59.0,20.0,7.7,6.0,NanaOn-Sha,E,Video Games
Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,0.45,0.55,0.05,0.22,1.26,75.0,42.0,7.2,166.0,Nixxes Software,T,Video Games
Kung Fu Panda,DS,2008,Action,Activision,0.56,0.56,0.0,0.14,1.25,,,,,,,Video Games
LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,0.77,0.37,0.0,0.11,1.25,65.0,29.0,8.9,51.0,Hellbent Games,E,Video Games
NBA Live 2001,PS,2000,Sports,Electronic Arts,0.7,0.47,0.0,0.08,1.25,86.0,10.0,8.0,6.0,EA Sports,E,Video Games
Saints Row IV,PS3,2013,Action,Deep Silver,0.56,0.41,0.09,0.19,1.25,76.0,26.0,6.3,278.0,Volition Inc.,M,Video Games
Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,0.49,0.0,0.01,0.75,1.25,68.0,7.0,7.4,33.0,Krome Studios,T,Video Games
Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.41,0.01,0.11,1.25,,,5.0,332.0,Ubisoft Montreal,M,Video Games
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,0.94,0.16,0.02,0.13,1.25,63.0,64.0,6.9,223.0,Slant Six,M,Video Games
Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25,,,,,,,Video Games
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25,,,,,,,Video Games
Reel Fishing,PS,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25,,,,,,,Video Games
Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,1.0,0.13,0.02,0.1,1.25,83.0,54.0,8.5,134.0,EA Canada,T,Video Games
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25,64.0,27.0,8.3,74.0,Genius Sonority Inc.,E,Video Games
Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,79.0,62.0,8.4,194.0,Criterion Games,M,Video Games
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25,86.0,32.0,7.6,81.0,Ubisoft Montreal,M,Video Games
LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,0.35,0.61,0.02,0.27,1.25,88.0,71.0,8.6,348.0,"Tarsier Studios, Double Eleven",E,Video Games
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25,69.0,44.0,8.8,190.0,"Spike Chunsoft Co. Ltd., Spike Chunsoft",E,Video Games
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0.0,0.0,1.25,74.0,22.0,8.5,135.0,Chris Sawyer,E,Video Games
Ratatouille,DS,2007,Action,THQ,0.49,0.62,0.0,0.14,1.25,,,,,,,Video Games
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0.0,0.16,1.25,52.0,37.0,6.2,106.0,Core Design Ltd.,T,Video Games
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,0.52,0.56,0.0,0.17,1.25,87.0,45.0,8.6,34.0,Ubisoft Shanghai,T,Video Games
Road Rash 3D,PS,1998,Racing,Electronic Arts,1.05,0.16,0.0,0.04,1.25,,,,,,,Video Games
Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24,81.0,51.0,8.9,155.0,Insomniac Games,T,Video Games
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.67,0.0,0.12,1.24,52.0,15.0,6.8,4.0,49Games,E,Video Games
Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,0.61,0.48,0.0,0.16,1.24,87.0,29.0,8.3,90.0,Snowblind Studios,T,Video Games
Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24,85.0,10.0,9.0,96.0,Oddworld Inhabitants,T,Video Games
Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,78.0,20.0,7.7,6.0,Namco,E,Video Games
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,0.69,0.0,0.0,0.55,1.24,78.0,9.0,6.9,34.0,Yuke's,T,Video Games
Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,,,,,,,Video Games
Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,0.82,0.38,0.0,0.04,1.24,61.0,44.0,8.1,54.0,Double Helix Games,T,Video Games
[Prototype],PS3,2009,Action,Activision,0.65,0.4,0.0,0.19,1.24,79.0,53.0,7.7,308.0,Radical Entertainment,M,Video Games
Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1.12,0.02,0.0,0.09,1.24,,,,,,,Video Games
FIFA Street,PS3,2012,Sports,Electronic Arts,0.12,0.89,0.0,0.23,1.23,76.0,36.0,6.4,66.0,EA Sports,E,Video Games
Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23,32.0,6.0,4.6,29.0,Konami,E,Video Games
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.08,0.02,0.0,0.13,1.23,83.0,30.0,5.9,39.0,EA Sports,E,Video Games
Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,91.0,89.0,8.8,152.0,Team Ninja,M,Video Games
Cars 2,DS,2011,Racing,Disney Interactive Studios,0.68,0.4,0.04,0.11,1.23,,,,,,,Video Games
Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,0.59,0.57,0.0,0.07,1.23,70.0,16.0,8.1,19.0,Traveller's Tales,E,Video Games
Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0.0,0.16,1.23,57.0,51.0,5.5,102.0,Reflections Interactive,M,Video Games
Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.47,0.05,0.28,1.23,63.0,38.0,7.2,69.0,Griptonite Games,M,Video Games
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0.0,0.08,1.23,,,,,,,Video Games
Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,0.52,0.35,0.18,0.18,1.23,,,,,,,Video Games
LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,0.64,0.49,0.0,0.11,1.23,80.0,49.0,8.5,73.0,TT Games,E10+,Video Games
Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23,,,,,,,Video Games
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,0.88,0.33,0.0,0.02,1.23,,,7.3,6.0,Vicarious Visions,E,Video Games
Vigilante 8,PS,1998,Racing,Activision,0.68,0.47,0.0,0.08,1.23,,,,,,,Video Games
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.58,0.42,0.13,0.1,1.23,76.0,81.0,8.3,662.0,Omega Force,T,Video Games
Castlevania,NES,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,,,,,,,Video Games
Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,80.0,22.0,9.1,37.0,Rare Ltd.,E,Video Games
Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1.0,0.13,0.0,0.1,1.23,70.0,59.0,6.7,48.0,Neversoft Entertainment,T,Video Games
